# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	Input_Sample_Name	Input_UUID
C3L-00016	GBM	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00016.181012_UNC32-K00270_0124_AH223CBBXY_GATCAG_S30_L002_R1_001_fastqc.html.gz	298267	html	5a3814c0508c5c3f7b50de75dbee6cfc	C3L-00016.miRNA-Seq.R1.T	b696639f-2e88-4852-86f8-eee6c0d7748a
C3L-00017	PDA	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00017.181012_UNC32-K00270_0124_AH223CBBXY_TAGCTT_S31_L002_R1_001_fastqc.html.gz	278595	html	08dd60dc4c6c1ecb4af4ddf1dce9d598	C3L-00017.miRNA-Seq.R1.T	92a8ae9e-cfbe-40e4-bd82-08d6e6b5cc1d
C3L-00017	PDA	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00017.181108_UNC31-K00269_0162_AH255GBBXY_GAGTGG_S47_L002_R1_001_fastqc.html.gz	287039	html	e7794a7bd058180b04739ac5796a78a3	C3L-00017.miRNA-Seq.R1.A	61cb3e85-3816-4589-a82e-0e3640912aab
C3L-00019	GBM	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00019.181012_UNC32-K00270_0124_AH223CBBXY_CCGTCC_S37_L004_R1_001_fastqc.html.gz	288986	html	99110f0b6c8c55db248073186efa2146	C3L-00019.miRNA-Seq.R1.T	2d1f79fa-cc80-4d70-ad6d-9715bc29f06a
C3L-00029	SAR	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/SAR/CPTAC3_SAR_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00029.181113_UNC31-K00269_0164_AH23NNBBXY_ATTCCT_S3_L001_R1_001_fastqc.html.gz	304761	html	999f6c726c52c916804ad6e45adccfb3	C3L-00029.miRNA-Seq.R1.T	dce54941-17c2-4ea6-80f0-1a920fb26f32
C3L-00035	SAR	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/SAR/CPTAC3_SAR_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00035.181113_UNC31-K00269_0164_AH23NNBBXY_CAACTA_S5_L001_R1_001_fastqc.html.gz	280151	html	25430c25c16e485efd4aa6fa97a90072	C3L-00035.miRNA-Seq.R1.T	4355c2c5-424f-44c4-806b-2f6c2389f91a
C3L-00035	SAR	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/SAR/CPTAC3_SAR_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00035.181113_UNC31-K00269_0164_AH23NNBBXY_CGATGT_S26_L006_R1_001_fastqc.html.gz	303729	html	c9d040f23bd0b45190fe33b6607f1a43	C3L-00035.miRNA-Seq.R1.A	699eed16-d415-4a7a-9614-db4effbb44be
C3L-00081	LSCC	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00081.181113_UNC31-K00269_0164_AH23NNBBXY_CAAAAG_S4_L001_R1_001_fastqc.html.gz	281901	html	3e8f2d9fa69fc3d40596cdc599ada586	C3L-00081.miRNA-Seq.R1.T	9653b134-a6be-4912-b38f-3787e6433c78
C3L-00081	LSCC	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00081.181113_UNC31-K00269_0164_AH23NNBBXY_CTTGTA_S36_L006_R1_001_fastqc.html.gz	284962	html	d803a1db71bc4b302ac1fc86ad08f71d	C3L-00081.miRNA-Seq.R1.A	b5212275-b305-469d-b26c-833be8b8777b
C3L-00086	UCEC	miRNA-Seq_QC	v1.0	20200115	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_miRNA-Seq_QC_v1.0_Y2.b123_20200115/C3L-00086.180724_UNC32-K00270_0106_BHWK3MBBXX_CATTTT_S11_L007_R1_001_fastqc.html.gz	264667	html	f9e6a9d61cdb330d1778b0419e506293	C3L-00086.miRNA-Seq.R1.T	30a2fd0b-1b5f-447b-8ed2-f621fa60bca1
